cpu_ts,timestamp,acc_x,acc_y,acc_z,timestamp,gyro_x,gyro_y,gyro_z
1608115505084,1608115505070,0.304006,-9.326124,-1.755390,1608115505080,-0.001745,0.001745,-0.003491
1608115505117,1608115505085,0.323619,-9.306511,-1.775004,1608115505117,0.000000,0.000000,0.000000
1608115505184,1608115505113,0.323619,-9.326124,-1.775004,1608115505184,0.000000,0.001745,0.000000
1608115505218,1608115505136,0.343233,-9.306511,-1.755390,1608115505217,0.000000,0.000000,0.000000
1608115505251,1608115505160,0.362846,-9.345737,-1.814230,1608115505251,0.000000,0.003491,0.000000
1608115505285,1608115505175,0.323619,-9.286898,-1.794617,1608115505284,-0.001745,0.001745,0.000000
1608115505318,1608115505199,0.323619,-9.326124,-1.735777,1608115505318,-0.001745,0.001745,0.000000
1608115505352,1608115505210,0.323619,-9.306511,-1.696550,1608115505351,-0.003491,0.001745,0.000000
1608115505385,1608115505226,0.343233,-9.306511,-1.755390,1608115505384,-0.001745,0.003491,0.000000
1608115505419,1608115505242,0.304006,-9.306511,-1.755390,1608115505418,0.000000,0.000000,-0.005236
1608115505452,1608115505245,0.343233,-9.306511,-1.735777,1608115505418,-0.003491,0.003491,-0.001745
1608115505486,1608115505265,0.343233,-9.326124,-1.775004,1608115505485,0.000000,0.003491,0.001745
1608115505519,1608115505281,0.343233,-9.326124,-1.775004,1608115505519,-0.003491,0.000000,-0.003491
1608115505553,1608115505296,0.343233,-9.345737,-1.775004,1608115505552,0.000000,0.000000,0.000000
1608115505586,1608115505316,0.343233,-9.286898,-1.735777,1608115505585,0.001745,0.001745,-0.001745
1608115505619,1608115505335,0.343233,-9.326124,-1.735777,1608115505619,0.000000,0.005236,0.000000
1608115505653,1608115505351,0.343233,-9.286898,-1.716164,1608115505652,0.000000,0.006981,-0.003491
1608115505686,1608115505370,0.323619,-9.326124,-1.755390,1608115505686,0.000000,0.005236,0.001745
1608115505720,1608115505390,0.343233,-9.306511,-1.775004,1608115505720,-0.001745,0.003491,0.000000
1608115505753,1608115505417,0.343233,-9.306511,-1.735777,1608115505753,0.000000,0.003491,-0.001745
1608115505787,1608115505444,0.323619,-9.306511,-1.696550,1608115505787,0.000000,0.003491,-0.001745
1608115505820,1608115505464,0.343233,-9.345737,-1.755390,1608115505820,0.000000,0.000000,0.000000
1608115505854,1608115505483,0.323619,-9.345737,-1.775004,1608115505853,-0.001745,0.003491,0.000000
1608115505887,1608115505487,0.343233,-9.345737,-1.716164,1608115505854,0.000000,0.003491,0.001745
1608115505921,1608115505499,0.323619,-9.306511,-1.716164,1608115505920,0.000000,0.000000,0.000000
1608115505954,1608115505522,0.323619,-9.306511,-1.755390,1608115505954,0.001745,0.000000,0.000000
1608115505988,1608115505542,0.343233,-9.345737,-1.775004,1608115505987,-0.003491,0.001745,-0.001745
1608115506021,1608115505566,0.323619,-9.306511,-1.735777,1608115506021,-0.003491,0.005236,-0.003491
1608115506054,1608115505581,0.362846,-9.345737,-1.716164,1608115506054,-0.003491,0.003491,-0.001745
1608115506088,1608115505605,0.304006,-9.267284,-1.716164,1608115506087,-0.001745,0.001745,0.000000
1608115506121,1608115505629,0.323619,-9.326124,-1.755390,1608115506121,-0.001745,0.005236,0.000000
1608115506155,1608115505645,0.323619,-9.326124,-1.814230,1608115506154,0.000000,0.003491,-0.001745
1608115506188,1608115505668,0.343233,-9.286898,-1.716164,1608115506188,-0.001745,0.000000,0.000000
1608115506222,1608115505688,0.323619,-9.326124,-1.794617,1608115506221,0.000000,0.000000,-0.003491
1608115506255,1608115505704,0.323619,-9.345737,-1.775004,1608115506255,0.000000,0.006981,0.000000
1608115506289,1608115505724,0.343233,-9.326124,-1.794617,1608115506288,-0.001745,0.001745,-0.001745
1608115506322,1608115505747,0.343233,-9.306511,-1.755390,1608115506322,0.000000,0.001745,0.000000
1608115506356,1608115505771,0.362846,-9.306511,-1.794617,1608115506355,0.000000,0.005236,0.000000
1608115506389,1608115505799,0.343233,-9.306511,-1.814230,1608115506389,-0.001745,0.001745,0.000000
1608115506422,1608115505818,0.343233,-9.286898,-1.716164,1608115506422,0.000000,0.000000,0.000000
1608115506456,1608115505838,0.304006,-9.326124,-1.775004,1608115506456,-0.001745,0.005236,-0.001745
1608115506489,1608115505866,0.343233,-9.326124,-1.794617,1608115506489,-0.005236,0.003491,0.000000
1608115506523,1608115505890,0.323619,-9.286898,-1.794617,1608115506522,0.000000,0.003491,-0.001745
1608115506556,1608115505917,0.323619,-9.286898,-1.775004,1608115506556,-0.001745,0.001745,0.000000
1608115506590,1608115505949,0.362846,-9.306511,-1.775004,1608115506590,0.000000,0.001745,0.001745
1608115506623,1608115505973,0.323619,-9.365351,-1.755390,1608115506623,-0.003491,0.005236,0.000000
1608115506657,1608115505992,0.304006,-9.326124,-1.833843,1608115506656,0.000000,0.003491,0.000000
