cpu_ts,ir_ts,left_fn,right_fn
1608115505107,1608115505005,IR_L_117,IR_R_117
1608115505146,1608115505038,IR_L_118,IR_R_118
1608115505204,1608115505071,IR_L_119,IR_R_119
1608115505237,1608115505104,IR_L_120,IR_R_120
1608115505281,1608115505137,IR_L_121,IR_R_121
1608115505313,1608115505170,IR_L_122,IR_R_122
1608115505347,1608115505203,IR_L_123,IR_R_123
1608115505371,1608115505236,IR_L_124,IR_R_124
1608115505407,1608115505269,IR_L_125,IR_R_125
1608115505440,1608115505335,IR_L_127,IR_R_127
1608115505474,1608115505368,IR_L_128,IR_R_128
1608115505504,1608115505401,IR_L_129,IR_R_129
1608115505539,1608115505434,IR_L_130,IR_R_130
1608115505574,1608115505467,IR_L_131,IR_R_131
1608115505608,1608115505500,IR_L_132,IR_R_132
1608115505641,1608115505533,IR_L_133,IR_R_133
1608115505675,1608115505566,IR_L_134,IR_R_134
1608115505708,1608115505599,IR_L_135,IR_R_135
1608115505738,1608115505632,IR_L_136,IR_R_136
1608115505772,1608115505665,IR_L_137,IR_R_137
1608115505805,1608115505697,IR_L_138,IR_R_138
1608115505839,1608115505730,IR_L_139,IR_R_139
1608115505873,1608115505763,IR_L_140,IR_R_140
1608115505911,1608115505796,IR_L_141,IR_R_141
1608115505939,1608115505829,IR_L_142,IR_R_142
1608115505973,1608115505863,IR_L_143,IR_R_143
1608115506007,1608115505896,IR_L_144,IR_R_144
1608115506040,1608115505929,IR_L_145,IR_R_145
1608115506073,1608115505963,IR_L_146,IR_R_146
1608115506106,1608115505996,IR_L_147,IR_R_147
1608115506143,1608115506030,IR_L_148,IR_R_148
1608115506174,1608115506063,IR_L_149,IR_R_149
1608115506207,1608115506097,IR_L_150,IR_R_150
1608115506240,1608115506130,IR_L_151,IR_R_151
1608115506274,1608115506163,IR_L_152,IR_R_152
1608115506311,1608115506197,IR_L_153,IR_R_153
1608115506344,1608115506230,IR_L_154,IR_R_154
1608115506378,1608115506264,IR_L_155,IR_R_155
1608115506408,1608115506297,IR_L_156,IR_R_156
1608115506441,1608115506331,IR_L_157,IR_R_157
1608115506475,1608115506364,IR_L_158,IR_R_158
1608115506519,1608115506398,IR_L_159,IR_R_159
1608115506546,1608115506431,IR_L_160,IR_R_160
1608115506579,1608115506465,IR_L_161,IR_R_161
1608115506612,1608115506499,IR_L_162,IR_R_162
1608115506642,1608115506566,IR_L_164,IR_R_164
1608115506681,1608115506599,IR_L_165,IR_R_165
1608115506709,1608115506633,IR_L_166,IR_R_166
1608115506776,1608115506666,IR_L_167,IR_R_167
1608115506809,1608115506700,IR_L_168,IR_R_168
1608115506843,1608115506734,IR_L_169,IR_R_169
1608115506876,1608115506767,IR_L_170,IR_R_170
1608115506909,1608115506801,IR_L_171,IR_R_171
1608115506943,1608115506834,IR_L_172,IR_R_172
1608115506976,1608115506868,IR_L_173,IR_R_173
1608115507010,1608115506902,IR_L_174,IR_R_174
1608115507043,1608115506936,IR_L_175,IR_R_175
1608115507077,1608115506970,IR_L_176,IR_R_176
1608115507110,1608115507004,IR_L_177,IR_R_177
1608115507143,1608115507038,IR_L_178,IR_R_178
1608115507181,1608115507072,IR_L_179,IR_R_179
1608115507214,1608115507106,IR_L_180,IR_R_180
1608115507247,1608115507140,IR_L_181,IR_R_181
1608115507281,1608115507174,IR_L_182,IR_R_182
1608115507315,1608115507209,IR_L_183,IR_R_183
1608115507347,1608115507243,IR_L_184,IR_R_184
1608115507383,1608115507277,IR_L_185,IR_R_185
1608115507414,1608115507311,IR_L_186,IR_R_186
1608115507448,1608115507345,IR_L_187,IR_R_187
1608115507481,1608115507380,IR_L_188,IR_R_188
1608115507515,1608115507414,IR_L_189,IR_R_189
1608115507548,1608115507448,IR_L_190,IR_R_190
1608115507582,1608115507482,IR_L_191,IR_R_191
1608115507611,1608115507517,IR_L_192,IR_R_192
1608115507645,1608115507551,IR_L_193,IR_R_193
1608115507678,1608115507585,IR_L_194,IR_R_194
1608115507713,1608115507620,IR_L_195,IR_R_195
1608115507745,1608115507654,IR_L_196,IR_R_196
1608115507778,1608115507688,IR_L_197,IR_R_197
1608115507844,1608115507723,IR_L_198,IR_R_198
1608115507875,1608115507757,IR_L_199,IR_R_199
1608115507909,1608115507826,IR_L_201,IR_R_201
1608115507932,1608115507860,IR_L_202,IR_R_202
1608115507966,1608115507895,IR_L_203,IR_R_203
1608115507999,1608115507927,IR_L_204,IR_R_204
1608115508038,1608115507961,IR_L_205,IR_R_205
1608115508067,1608115507994,IR_L_206,IR_R_206
1608115508100,1608115508027,IR_L_207,IR_R_207
1608115508133,1608115508060,IR_L_208,IR_R_208
1608115508168,1608115508094,IR_L_209,IR_R_209
1608115508203,1608115508127,IR_L_210,IR_R_210
1608115508234,1608115508160,IR_L_211,IR_R_211
1608115508272,1608115508193,IR_L_212,IR_R_212
1608115508305,1608115508227,IR_L_213,IR_R_213
