acq_time,save_time,stat_time,cycle_time,sleep_time,slow_cycles_cnt
3.138344,22.681670,0.000109,25.820123,0.000000,0
3.096052,28.085451,0.000171,31.181674,7.513210,0
3.077552,7.705589,0.000079,10.783220,2.151659,0
3.132320,19.256120,0.000123,22.388563,22.550113,0
3.106906,19.418777,0.000211,22.525894,10.944770,0
3.150731,29.245945,0.000136,32.396812,10.807439,0
3.133181,28.340870,0.000122,31.474173,0.936521,0
3.127518,29.083931,0.000276,32.211725,1.859160,0
3.117381,18.896177,0.000147,22.013705,1.121608,0
3.128005,21.539231,0.000094,24.667330,11.319628,0
3.110778,21.661899,0.000135,24.772812,8.666003,0
3.116687,21.665389,0.000199,24.782275,8.560521,0
3.135162,18.701923,0.000110,21.837195,8.551058,0
3.159090,19.447505,0.000215,22.606810,11.496138,0
3.105896,21.154551,0.000139,24.260586,10.726523,0
3.126104,21.967081,0.000107,25.093292,9.072747,0
3.093395,21.388562,0.000105,24.482062,8.240041,0
3.113458,21.766940,0.000100,24.880498,8.851271,0
3.117261,21.485659,0.000138,24.603058,8.452835,0
3.105967,18.396107,0.000136,21.502210,8.730275,0
3.127570,18.426571,0.000108,21.554249,11.831123,0
3.152342,18.547311,0.000119,21.699772,11.779084,0
3.136683,18.532567,0.000111,21.669361,11.633561,0
3.096123,18.690600,0.000122,21.786845,11.663972,0
3.122981,23.996447,0.000168,27.119596,11.546488,0
3.119515,18.412883,0.000199,21.532597,6.213737,0
3.137886,18.798750,0.000208,21.936844,11.800736,0
3.104285,19.033048,0.000272,22.137605,11.396489,0
3.094687,18.887035,0.000192,21.981914,11.195728,0
3.171909,18.566716,0.000249,21.738874,11.351419,0
3.122096,17.919157,8.676329,29.717582,11.594459,0
3.140655,21.834539,0.000099,24.975293,3.615751,0
3.181394,18.656612,0.000278,21.838284,8.358040,0
3.092709,18.151856,0.000093,21.244658,11.495049,0
3.150605,18.292911,0.000476,21.443992,12.088675,0
3.111788,19.087406,0.000309,22.199503,11.889341,0
3.115780,22.024139,0.000113,25.140032,11.133830,0
3.135975,21.578933,0.000136,24.715044,8.193301,0
3.183757,22.686618,0.000125,25.870500,8.618289,0
3.105346,18.605108,0.000188,21.710642,7.462833,0
3.114395,18.748848,0.000264,21.863507,11.622691,0
3.091647,19.402021,0.000255,22.493923,11.469826,0
3.106574,29.283369,0.000123,32.390066,10.839410,0
3.215149,23.255371,0.000120,26.470640,0.943267,0
