cpu_ts,rgb_frame_cnt,hw_rgb_fps,rgb_ts,hw_ir_counter,hw_ir_fps,ir_ts
1608115974233,212,55.000000,1608115974180,236,58.000000,1608115974181
1608115974250,213,55.000000,1608115974197,237,58.000000,1608115974198
1608115974267,214,55.000000,1608115974214,238,58.000000,1608115974214
1608115974284,215,55.000000,1608115974231,239,58.000000,1608115974231
1608115974300,216,55.000000,1608115974248,240,58.000000,1608115974247
1608115974317,217,55.000000,1608115974265,241,58.000000,1608115974264
1608115974334,218,55.000000,1608115974282,242,58.000000,1608115974281
1608115974351,219,55.000000,1608115974299,243,58.000000,1608115974297
1608115974367,220,55.000000,1608115974316,244,58.000000,1608115974314
1608115974384,221,55.000000,1608115974333,245,58.000000,1608115974330
1608115974401,222,55.000000,1608115974350,246,58.000000,1608115974347
1608115974418,223,55.000000,1608115974367,247,58.000000,1608115974364
1608115974435,224,55.000000,1608115974384,248,58.000000,1608115974380
1608115974451,225,55.000000,1608115974401,249,58.000000,1608115974397
1608115974468,226,55.000000,1608115974418,250,58.000000,1608115974413
1608115974485,227,55.000000,1608115974435,251,58.000000,1608115974430
1608115974502,228,55.000000,1608115974452,252,58.000000,1608115974447
1608115974519,229,55.000000,1608115974469,253,58.000000,1608115974463
1608115974535,230,55.000000,1608115974486,254,58.000000,1608115974480
1608115974552,231,55.000000,1608115974503,255,58.000000,1608115974496
1608115974569,232,55.000000,1608115974520,257,58.000000,1608115974530
1608115974586,233,55.000000,1608115974537,258,58.000000,1608115974546
1608115974603,234,55.000000,1608115974554,259,58.000000,1608115974563
1608115974620,235,55.000000,1608115974571,260,58.000000,1608115974580
1608115974636,236,55.000000,1608115974588,261,58.000000,1608115974596
1608115974653,237,55.000000,1608115974605,262,58.000000,1608115974613
1608115974670,238,55.000000,1608115974622,263,58.000000,1608115974629
1608115974687,239,55.000000,1608115974639,264,58.000000,1608115974646
1608115974704,240,55.000000,1608115974656,265,58.000000,1608115974663
1608115974720,241,55.000000,1608115974673,266,58.000000,1608115974679
1608115974737,242,55.000000,1608115974690,267,58.000000,1608115974696
1608115974754,243,55.000000,1608115974707,268,58.000000,1608115974712
1608115974771,244,55.000000,1608115974724,269,58.000000,1608115974729
1608115974788,245,55.000000,1608115974742,270,58.000000,1608115974746
1608115974804,246,55.000000,1608115974759,271,58.000000,1608115974762
1608115974821,247,55.000000,1608115974776,272,58.000000,1608115974779
1608115974838,248,55.000000,1608115974793,273,58.000000,1608115974795
1608115974855,249,55.000000,1608115974810,274,58.000000,1608115974812
1608115974871,250,55.000000,1608115974827,275,58.000000,1608115974829
1608115974888,251,55.000000,1608115974844,276,58.000000,1608115974845
1608115974905,252,55.000000,1608115974861,277,58.000000,1608115974862
1608115974922,253,55.000000,1608115974878,278,58.000000,1608115974878
1608115974939,254,58.000000,1608115974895,279,58.000000,1608115974895
1608115974955,254,58.000000,1608115974895,279,58.000000,1608115974895
1608115974972,255,55.000000,1608115974912,280,58.000000,1608115974912
1608115974989,256,55.000000,1608115974929,281,58.000000,1608115974928
1608115975006,257,55.000000,1608115974946,282,58.000000,1608115974945
1608115975022,258,55.000000,1608115974963,283,58.000000,1608115974962
1608115975039,259,55.000000,1608115974981,284,58.000000,1608115974979
1608115975056,260,55.000000,1608115974998,285,58.000000,1608115974996
1608115975073,261,55.000000,1608115975015,286,58.000000,1608115975012
1608115975090,262,55.000000,1608115975032,287,58.000000,1608115975029
1608115975106,263,55.000000,1608115975050,288,58.000000,1608115975046
1608115975123,264,55.000000,1608115975067,289,58.000000,1608115975063
1608115975140,265,55.000000,1608115975084,290,58.000000,1608115975080
1608115975157,266,55.000000,1608115975101,291,58.000000,1608115975096
1608115975173,267,55.000000,1608115975118,292,58.000000,1608115975113
1608115975190,268,55.000000,1608115975136,293,58.000000,1608115975130
1608115975207,269,55.000000,1608115975153,294,58.000000,1608115975147
1608115975224,270,55.000000,1608115975170,295,58.000000,1608115975164
1608115975241,271,55.000000,1608115975187,296,58.000000,1608115975180
1608115975261,272,55.000000,1608115975205,298,58.000000,1608115975214
1608115975278,273,55.000000,1608115975222,299,58.000000,1608115975231
1608115975295,274,55.000000,1608115975239,300,58.000000,1608115975248
1608115975312,275,55.000000,1608115975256,301,58.000000,1608115975264
1608115975328,276,55.000000,1608115975274,302,58.000000,1608115975281
1608115975345,277,55.000000,1608115975291,303,58.000000,1608115975298
1608115975362,278,55.000000,1608115975308,304,58.000000,1608115975315
1608115975379,279,55.000000,1608115975325,305,58.000000,1608115975332
1608115975395,280,55.000000,1608115975343,306,58.000000,1608115975349
1608115975412,281,55.000000,1608115975360,307,58.000000,1608115975365
1608115975429,282,55.000000,1608115975377,308,58.000000,1608115975382
1608115975446,283,55.000000,1608115975394,309,58.000000,1608115975399
1608115975463,284,55.000000,1608115975412,310,58.000000,1608115975416
1608115975479,285,55.000000,1608115975429,311,58.000000,1608115975433
1608115975496,286,55.000000,1608115975446,312,58.000000,1608115975450
1608115975513,287,55.000000,1608115975463,313,58.000000,1608115975466
1608115975530,288,55.000000,1608115975481,314,58.000000,1608115975483
1608115975546,289,55.000000,1608115975498,315,58.000000,1608115975500
1608115975563,290,55.000000,1608115975515,316,58.000000,1608115975517
1608115975580,291,55.000000,1608115975533,317,58.000000,1608115975534
1608115975597,292,55.000000,1608115975550,318,58.000000,1608115975551
1608115975614,293,55.000000,1608115975567,319,58.000000,1608115975568
1608115975630,294,55.000000,1608115975584,320,58.000000,1608115975584
1608115975647,295,55.000000,1608115975602,321,58.000000,1608115975601
1608115975664,296,55.000000,1608115975619,322,58.000000,1608115975618
1608115975681,297,55.000000,1608115975636,323,58.000000,1608115975635
1608115975697,298,55.000000,1608115975654,324,58.000000,1608115975652
1608115975714,299,55.000000,1608115975671,325,58.000000,1608115975669
1608115975731,300,55.000000,1608115975688,326,58.000000,1608115975686
1608115975748,301,55.000000,1608115975705,327,58.000000,1608115975702
1608115975765,302,55.000000,1608115975723,328,58.000000,1608115975719
1608115975781,303,55.000000,1608115975740,329,58.000000,1608115975736
1608115975798,304,55.000000,1608115975757,330,58.000000,1608115975753
1608115975815,305,55.000000,1608115975775,331,58.000000,1608115975770
1608115975832,306,55.000000,1608115975792,332,58.000000,1608115975787
1608115975849,307,55.000000,1608115975809,333,58.000000,1608115975804
1608115975865,308,55.000000,1608115975827,334,58.000000,1608115975821
1608115975882,309,55.000000,1608115975844,335,58.000000,1608115975838
1608115975899,310,55.000000,1608115975861,336,58.000000,1608115975854
1608115975916,311,55.000000,1608115975879,337,58.000000,1608115975871
1608115975932,311,55.000000,1608115975879,337,58.000000,1608115975871
1608115975949,312,55.000000,1608115975896,339,58.000000,1608115975905
1608115975966,313,55.000000,1608115975913,340,58.000000,1608115975922
1608115975983,314,55.000000,1608115975930,341,58.000000,1608115975939
1608115975999,315,55.000000,1608115975947,342,58.000000,1608115975955
1608115976016,316,55.000000,1608115975965,343,58.000000,1608115975972
1608115976033,317,55.000000,1608115975982,344,58.000000,1608115975989
1608115976050,318,55.000000,1608115975999,345,58.000000,1608115976006
1608115976067,319,55.000000,1608115976016,346,58.000000,1608115976022
1608115976083,320,55.000000,1608115976033,347,58.000000,1608115976039
1608115976100,321,55.000000,1608115976050,348,58.000000,1608115976056
1608115976117,322,55.000000,1608115976068,349,58.000000,1608115976072
1608115976134,323,55.000000,1608115976085,350,58.000000,1608115976089
1608115976150,324,55.000000,1608115976102,351,58.000000,1608115976106
1608115976167,325,55.000000,1608115976119,352,58.000000,1608115976123
1608115976184,326,55.000000,1608115976136,353,58.000000,1608115976139
1608115976201,327,55.000000,1608115976153,354,58.000000,1608115976156
1608115976218,328,55.000000,1608115976171,355,58.000000,1608115976173
1608115976234,329,55.000000,1608115976188,356,58.000000,1608115976190
1608115976251,330,55.000000,1608115976205,357,58.000000,1608115976206
1608115976273,331,55.000000,1608115976222,358,58.000000,1608115976223
1608115976290,332,55.000000,1608115976239,359,58.000000,1608115976240
1608115976307,333,55.000000,1608115976256,360,58.000000,1608115976257
1608115976324,334,55.000000,1608115976274,361,58.000000,1608115976273
1608115976340,335,55.000000,1608115976291,362,58.000000,1608115976290
1608115976357,336,55.000000,1608115976308,363,58.000000,1608115976307
1608115976374,337,55.000000,1608115976325,364,58.000000,1608115976324
1608115976391,338,55.000000,1608115976342,365,58.000000,1608115976340
1608115976408,339,55.000000,1608115976360,366,58.000000,1608115976357
1608115976424,340,55.000000,1608115976377,367,58.000000,1608115976374
1608115976441,341,55.000000,1608115976394,368,58.000000,1608115976391
1608115976458,342,55.000000,1608115976411,369,58.000000,1608115976407
1608115976475,343,55.000000,1608115976428,370,58.000000,1608115976424
1608115976491,344,55.000000,1608115976445,371,58.000000,1608115976441
1608115976508,345,55.000000,1608115976463,372,58.000000,1608115976458
1608115976525,346,55.000000,1608115976480,373,58.000000,1608115976474
1608115976542,347,55.000000,1608115976497,374,58.000000,1608115976491
1608115976559,348,55.000000,1608115976514,375,58.000000,1608115976508
1608115976575,349,55.000000,1608115976531,376,58.000000,1608115976525
1608115976592,350,55.000000,1608115976549,377,58.000000,1608115976541
1608115976609,351,55.000000,1608115976566,379,58.000000,1608115976575
1608115976626,352,55.000000,1608115976583,380,58.000000,1608115976592
1608115976642,353,55.000000,1608115976600,381,58.000000,1608115976609
1608115976659,354,55.000000,1608115976617,382,58.000000,1608115976625
1608115976676,355,55.000000,1608115976634,383,58.000000,1608115976642
1608115976693,356,55.000000,1608115976652,384,58.000000,1608115976659
1608115976710,357,55.000000,1608115976669,385,58.000000,1608115976676
1608115976727,358,55.000000,1608115976686,386,58.000000,1608115976692
1608115976743,359,55.000000,1608115976703,387,58.000000,1608115976709
1608115976760,360,55.000000,1608115976720,388,58.000000,1608115976726
1608115976777,361,55.000000,1608115976738,389,58.000000,1608115976743
1608115976794,362,55.000000,1608115976755,390,58.000000,1608115976759
1608115976811,363,55.000000,1608115976772,391,58.000000,1608115976776
1608115976827,364,55.000000,1608115976789,392,58.000000,1608115976793
1608115976844,365,55.000000,1608115976806,393,58.000000,1608115976810
1608115976861,366,55.000000,1608115976824,394,58.000000,1608115976826
1608115976878,367,55.000000,1608115976841,395,58.000000,1608115976843
1608115976895,368,55.000000,1608115976858,396,58.000000,1608115976860
1608115976911,369,55.000000,1608115976875,397,58.000000,1608115976877
1608115976928,370,55.000000,1608115976892,398,58.000000,1608115976894
1608115976945,371,55.000000,1608115976910,399,58.000000,1608115976910
1608115976962,372,55.000000,1608115976927,400,58.000000,1608115976927
1608115976979,373,55.000000,1608115976944,401,58.000000,1608115976944
1608115976995,374,55.000000,1608115976961,402,58.000000,1608115976961
1608115977012,375,55.000000,1608115976978,403,58.000000,1608115976977
1608115977029,376,55.000000,1608115976995,404,58.000000,1608115976994
1608115977046,377,55.000000,1608115977012,405,58.000000,1608115977011
1608115977062,378,55.000000,1608115977030,406,58.000000,1608115977027
1608115977079,379,55.000000,1608115977047,407,58.000000,1608115977044
1608115977096,380,55.000000,1608115977064,408,58.000000,1608115977061
1608115977113,380,55.000000,1608115977064,408,58.000000,1608115977061
1608115977130,381,55.000000,1608115977081,409,58.000000,1608115977078
1608115977146,382,55.000000,1608115977098,410,58.000000,1608115977094
1608115977163,383,55.000000,1608115977115,411,58.000000,1608115977111
1608115977180,384,55.000000,1608115977133,412,58.000000,1608115977128
1608115977197,385,55.000000,1608115977150,413,58.000000,1608115977145
1608115977213,386,55.000000,1608115977167,414,58.000000,1608115977161
1608115977230,387,55.000000,1608115977184,415,58.000000,1608115977178
1608115977247,388,55.000000,1608115977201,416,58.000000,1608115977195
1608115977264,389,55.000000,1608115977218,417,58.000000,1608115977212
1608115977287,390,55.000000,1608115977236,419,58.000000,1608115977245
1608115977304,391,55.000000,1608115977253,420,58.000000,1608115977262
1608115977321,392,55.000000,1608115977270,421,58.000000,1608115977279
1608115977338,393,55.000000,1608115977287,422,58.000000,1608115977295
1608115977355,394,55.000000,1608115977304,423,58.000000,1608115977312
1608115977371,395,55.000000,1608115977321,424,58.000000,1608115977329
1608115977388,396,55.000000,1608115977339,425,58.000000,1608115977345
1608115977405,397,55.000000,1608115977356,426,58.000000,1608115977362
1608115977422,398,55.000000,1608115977373,427,58.000000,1608115977379
1608115977438,399,55.000000,1608115977390,428,58.000000,1608115977396
1608115977455,400,55.000000,1608115977407,429,58.000000,1608115977412
1608115977472,401,55.000000,1608115977424,430,58.000000,1608115977429
1608115977489,402,55.000000,1608115977442,431,58.000000,1608115977446
1608115977506,403,55.000000,1608115977459,432,58.000000,1608115977463
1608115977522,404,55.000000,1608115977476,433,58.000000,1608115977479
1608115977539,405,55.000000,1608115977493,434,58.000000,1608115977496
1608115977556,406,55.000000,1608115977510,435,58.000000,1608115977513
1608115977573,407,55.000000,1608115977527,436,58.000000,1608115977530
1608115977590,408,55.000000,1608115977545,437,58.000000,1608115977546
1608115977607,409,55.000000,1608115977562,438,58.000000,1608115977563
1608115977626,410,55.000000,1608115977579,439,58.000000,1608115977580
1608115977643,411,55.000000,1608115977596,440,58.000000,1608115977597
1608115977660,412,55.000000,1608115977613,441,58.000000,1608115977613
1608115977681,413,55.000000,1608115977631,442,58.000000,1608115977630
1608115977698,414,55.000000,1608115977648,443,58.000000,1608115977647
1608115977714,415,55.000000,1608115977665,444,58.000000,1608115977664
1608115977731,416,55.000000,1608115977682,445,58.000000,1608115977680
1608115977748,417,55.000000,1608115977699,446,58.000000,1608115977697
1608115977765,418,55.000000,1608115977716,447,58.000000,1608115977714
1608115977782,419,55.000000,1608115977734,448,58.000000,1608115977731
1608115977798,420,55.000000,1608115977751,449,58.000000,1608115977747
1608115977815,421,55.000000,1608115977768,450,58.000000,1608115977764
1608115977832,422,55.000000,1608115977785,451,58.000000,1608115977781
