cpu_ts,rgb_ts,filename
1608115974239,1608115974180,RGB_212
1608115974257,1608115974197,RGB_213
1608115974273,1608115974214,RGB_214
1608115974289,1608115974231,RGB_215
1608115974306,1608115974248,RGB_216
1608115974323,1608115974265,RGB_217
1608115974340,1608115974282,RGB_218
1608115974356,1608115974299,RGB_219
1608115974373,1608115974316,RGB_220
1608115974390,1608115974333,RGB_221
1608115974407,1608115974350,RGB_222
1608115974424,1608115974367,RGB_223
1608115974441,1608115974384,RGB_224
1608115974457,1608115974401,RGB_225
1608115974477,1608115974418,RGB_226
1608115974491,1608115974435,RGB_227
1608115974508,1608115974452,RGB_228
1608115974525,1608115974469,RGB_229
1608115974542,1608115974486,RGB_230
1608115974558,1608115974503,RGB_231
1608115974576,1608115974520,RGB_232
1608115974592,1608115974537,RGB_233
1608115974609,1608115974554,RGB_234
1608115974626,1608115974571,RGB_235
1608115974643,1608115974588,RGB_236
1608115974660,1608115974605,RGB_237
1608115974676,1608115974622,RGB_238
1608115974693,1608115974639,RGB_239
1608115974710,1608115974656,RGB_240
1608115974727,1608115974673,RGB_241
1608115974743,1608115974690,RGB_242
1608115974762,1608115974707,RGB_243
1608115974777,1608115974724,RGB_244
1608115974793,1608115974742,RGB_245
1608115974810,1608115974759,RGB_246
1608115974828,1608115974776,RGB_247
1608115974845,1608115974793,RGB_248
1608115974862,1608115974810,RGB_249
1608115974879,1608115974827,RGB_250
1608115974895,1608115974844,RGB_251
1608115974911,1608115974861,RGB_252
1608115974928,1608115974878,RGB_253
1608115974945,1608115974895,RGB_254
1608115974978,1608115974912,RGB_255
1608115974994,1608115974929,RGB_256
1608115975011,1608115974946,RGB_257
1608115975028,1608115974963,RGB_258
1608115975045,1608115974981,RGB_259
1608115975062,1608115974998,RGB_260
1608115975078,1608115975015,RGB_261
1608115975095,1608115975032,RGB_262
1608115975112,1608115975050,RGB_263
1608115975129,1608115975067,RGB_264
1608115975146,1608115975084,RGB_265
1608115975163,1608115975101,RGB_266
1608115975179,1608115975118,RGB_267
1608115975196,1608115975136,RGB_268
1608115975213,1608115975153,RGB_269
1608115975230,1608115975170,RGB_270
1608115975246,1608115975187,RGB_271
