cpu_ts,ir_ts,left_fn,right_fn
1608115974242,1608115974181,IR_L_236,IR_R_236
1608115974259,1608115974198,IR_L_237,IR_R_237
1608115974275,1608115974214,IR_L_238,IR_R_238
1608115974292,1608115974231,IR_L_239,IR_R_239
1608115974308,1608115974247,IR_L_240,IR_R_240
1608115974325,1608115974264,IR_L_241,IR_R_241
1608115974342,1608115974281,IR_L_242,IR_R_242
1608115974359,1608115974297,IR_L_243,IR_R_243
1608115974375,1608115974314,IR_L_244,IR_R_244
1608115974392,1608115974330,IR_L_245,IR_R_245
1608115974409,1608115974347,IR_L_246,IR_R_246
1608115974426,1608115974364,IR_L_247,IR_R_247
1608115974443,1608115974380,IR_L_248,IR_R_248
1608115974459,1608115974397,IR_L_249,IR_R_249
1608115974480,1608115974413,IR_L_250,IR_R_250
1608115974493,1608115974430,IR_L_251,IR_R_251
1608115974511,1608115974447,IR_L_252,IR_R_252
1608115974528,1608115974463,IR_L_253,IR_R_253
1608115974544,1608115974480,IR_L_254,IR_R_254
1608115974561,1608115974496,IR_L_255,IR_R_255
1608115974578,1608115974530,IR_L_257,IR_R_257
1608115974595,1608115974546,IR_L_258,IR_R_258
1608115974611,1608115974563,IR_L_259,IR_R_259
1608115974629,1608115974580,IR_L_260,IR_R_260
1608115974645,1608115974596,IR_L_261,IR_R_261
1608115974662,1608115974613,IR_L_262,IR_R_262
1608115974679,1608115974629,IR_L_263,IR_R_263
1608115974695,1608115974646,IR_L_264,IR_R_264
1608115974713,1608115974663,IR_L_265,IR_R_265
1608115974729,1608115974679,IR_L_266,IR_R_266
1608115974746,1608115974696,IR_L_267,IR_R_267
1608115974764,1608115974712,IR_L_268,IR_R_268
1608115974779,1608115974729,IR_L_269,IR_R_269
1608115974796,1608115974746,IR_L_270,IR_R_270
1608115974812,1608115974762,IR_L_271,IR_R_271
1608115974830,1608115974779,IR_L_272,IR_R_272
1608115974849,1608115974795,IR_L_273,IR_R_273
1608115974866,1608115974812,IR_L_274,IR_R_274
1608115974883,1608115974829,IR_L_275,IR_R_275
1608115974897,1608115974845,IR_L_276,IR_R_276
1608115974915,1608115974862,IR_L_277,IR_R_277
1608115974932,1608115974878,IR_L_278,IR_R_278
1608115974949,1608115974895,IR_L_279,IR_R_279
1608115974980,1608115974912,IR_L_280,IR_R_280
1608115974997,1608115974928,IR_L_281,IR_R_281
1608115975014,1608115974945,IR_L_282,IR_R_282
1608115975030,1608115974962,IR_L_283,IR_R_283
1608115975048,1608115974979,IR_L_284,IR_R_284
1608115975064,1608115974996,IR_L_285,IR_R_285
1608115975081,1608115975012,IR_L_286,IR_R_286
1608115975097,1608115975029,IR_L_287,IR_R_287
1608115975114,1608115975046,IR_L_288,IR_R_288
1608115975131,1608115975063,IR_L_289,IR_R_289
1608115975148,1608115975080,IR_L_290,IR_R_290
1608115975165,1608115975096,IR_L_291,IR_R_291
1608115975182,1608115975113,IR_L_292,IR_R_292
1608115975198,1608115975130,IR_L_293,IR_R_293
1608115975215,1608115975147,IR_L_294,IR_R_294
1608115975232,1608115975164,IR_L_295,IR_R_295
