cpu_ts,rgb_frame_cnt,hw_rgb_fps,rgb_ts,hw_ir_counter,hw_ir_fps,ir_ts
1608115505084,0,0.000000,0,172,29.000000,1608115505017
1608115505117,0,0.000000,0,173,29.000000,1608115505051
1608115505151,0,0.000000,0,174,29.000000,1608115505084
1608115505184,0,0.000000,0,175,29.000000,1608115505117
1608115505218,0,0.000000,0,176,29.000000,1608115505150
1608115505251,0,0.000000,0,177,29.000000,1608115505184
1608115505285,0,0.000000,0,178,29.000000,1608115505217
1608115505318,0,0.000000,0,179,29.000000,1608115505250
1608115505352,0,0.000000,0,180,29.000000,1608115505284
1608115505385,0,0.000000,0,181,29.000000,1608115505317
1608115505419,0,0.000000,0,182,29.000000,1608115505351
1608115505452,0,0.000000,0,183,29.000000,1608115505384
1608115505486,0,0.000000,0,184,29.000000,1608115505418
1608115505519,0,0.000000,0,185,29.000000,1608115505451
1608115505553,0,0.000000,0,186,29.000000,1608115505485
1608115505586,0,0.000000,0,187,29.000000,1608115505518
1608115505619,0,0.000000,0,188,29.000000,1608115505552
1608115505653,0,0.000000,0,189,29.000000,1608115505585
1608115505686,0,0.000000,0,190,29.000000,1608115505619
1608115505720,0,0.000000,0,191,29.000000,1608115505652
1608115505753,0,0.000000,0,192,29.000000,1608115505686
1608115505787,0,0.000000,0,193,29.000000,1608115505719
1608115505820,0,0.000000,0,194,29.000000,1608115505753
1608115505854,0,0.000000,0,195,29.000000,1608115505786
1608115505887,0,0.000000,0,196,29.000000,1608115505820
1608115505921,0,0.000000,0,197,29.000000,1608115505854
1608115505954,0,0.000000,0,198,29.000000,1608115505887
1608115505988,0,0.000000,0,199,29.000000,1608115505921
1608115506021,0,0.000000,0,200,29.000000,1608115505954
1608115506054,0,0.000000,0,201,29.000000,1608115505988
1608115506088,0,0.000000,0,202,29.000000,1608115506022
1608115506121,0,0.000000,0,203,29.000000,1608115506055
1608115506155,0,0.000000,0,204,29.000000,1608115506089
1608115506188,0,0.000000,0,205,29.000000,1608115506122
1608115506222,0,0.000000,0,206,29.000000,1608115506156
1608115506255,0,0.000000,0,207,29.000000,1608115506190
1608115506289,0,0.000000,0,208,29.000000,1608115506223
1608115506322,0,0.000000,0,209,29.000000,1608115506257
1608115506356,0,0.000000,0,210,29.000000,1608115506291
1608115506389,0,0.000000,0,211,29.000000,1608115506324
1608115506422,0,0.000000,0,212,29.000000,1608115506358
1608115506456,0,0.000000,0,213,29.000000,1608115506391
1608115506489,0,0.000000,0,214,29.000000,1608115506424
1608115506523,0,0.000000,0,215,29.000000,1608115506458
1608115506556,0,0.000000,0,216,29.000000,1608115506491
1608115506590,0,0.000000,0,217,29.000000,1608115506525
1608115506623,0,0.000000,0,218,29.000000,1608115506558
1608115506657,0,0.000000,0,219,29.000000,1608115506592
1608115506690,0,0.000000,0,220,29.000000,1608115506625
1608115506724,0,0.000000,0,221,29.000000,1608115506659
1608115506757,0,0.000000,0,222,29.000000,1608115506692
1608115506791,0,0.000000,0,223,29.000000,1608115506726
1608115506824,0,0.000000,0,224,29.000000,1608115506760
1608115506857,0,0.000000,0,225,29.000000,1608115506793
1608115506891,0,0.000000,0,226,29.000000,1608115506827
1608115506924,0,0.000000,0,227,29.000000,1608115506860
1608115506958,0,0.000000,0,228,29.000000,1608115506894
1608115506991,0,0.000000,0,229,29.000000,1608115506927
1608115507025,0,0.000000,0,230,29.000000,1608115506961
1608115507058,0,0.000000,0,231,29.000000,1608115506994
1608115507091,0,0.000000,0,232,29.000000,1608115507028
1608115507125,0,0.000000,0,233,29.000000,1608115507062
