cpu_ts,ir_ts,left_fn,right_fn
1608115505092,1608115505017,IR_L_172,IR_R_172
1608115505127,1608115505051,IR_L_173,IR_R_173
1608115505159,1608115505084,IR_L_174,IR_R_174
1608115505192,1608115505117,IR_L_175,IR_R_175
1608115505225,1608115505150,IR_L_176,IR_R_176
1608115505262,1608115505184,IR_L_177,IR_R_177
1608115505295,1608115505217,IR_L_178,IR_R_178
1608115505330,1608115505250,IR_L_179,IR_R_179
1608115505358,1608115505284,IR_L_180,IR_R_180
1608115505392,1608115505317,IR_L_181,IR_R_181
1608115505425,1608115505351,IR_L_182,IR_R_182
1608115505462,1608115505384,IR_L_183,IR_R_183
1608115505492,1608115505418,IR_L_184,IR_R_184
1608115505526,1608115505451,IR_L_185,IR_R_185
1608115505559,1608115505485,IR_L_186,IR_R_186
1608115505593,1608115505518,IR_L_187,IR_R_187
1608115505626,1608115505552,IR_L_188,IR_R_188
1608115505660,1608115505585,IR_L_189,IR_R_189
1608115505693,1608115505619,IR_L_190,IR_R_190
1608115505727,1608115505652,IR_L_191,IR_R_191
1608115505760,1608115505686,IR_L_192,IR_R_192
1608115505794,1608115505719,IR_L_193,IR_R_193
1608115505827,1608115505753,IR_L_194,IR_R_194
1608115505861,1608115505786,IR_L_195,IR_R_195
1608115505900,1608115505820,IR_L_196,IR_R_196
1608115505927,1608115505854,IR_L_197,IR_R_197
1608115505961,1608115505887,IR_L_198,IR_R_198
1608115505994,1608115505921,IR_L_199,IR_R_199
1608115506028,1608115505954,IR_L_200,IR_R_200
1608115506061,1608115505988,IR_L_201,IR_R_201
1608115506094,1608115506022,IR_L_202,IR_R_202
1608115506128,1608115506055,IR_L_203,IR_R_203
1608115506162,1608115506089,IR_L_204,IR_R_204
1608115506195,1608115506122,IR_L_205,IR_R_205
1608115506229,1608115506156,IR_L_206,IR_R_206
1608115506262,1608115506190,IR_L_207,IR_R_207
1608115506295,1608115506223,IR_L_208,IR_R_208
1608115506329,1608115506257,IR_L_209,IR_R_209
1608115506362,1608115506291,IR_L_210,IR_R_210
1608115506396,1608115506324,IR_L_211,IR_R_211
1608115506430,1608115506358,IR_L_212,IR_R_212
1608115506464,1608115506391,IR_L_213,IR_R_213
1608115506499,1608115506424,IR_L_214,IR_R_214
1608115506530,1608115506458,IR_L_215,IR_R_215
1608115506563,1608115506491,IR_L_216,IR_R_216
1608115506596,1608115506525,IR_L_217,IR_R_217
1608115506630,1608115506558,IR_L_218,IR_R_218
1608115506665,1608115506592,IR_L_219,IR_R_219
1608115506697,1608115506625,IR_L_220,IR_R_220
1608115506730,1608115506659,IR_L_221,IR_R_221
1608115506764,1608115506692,IR_L_222,IR_R_222
1608115506798,1608115506726,IR_L_223,IR_R_223
1608115506831,1608115506760,IR_L_224,IR_R_224
1608115506864,1608115506793,IR_L_225,IR_R_225
1608115506897,1608115506827,IR_L_226,IR_R_226
1608115506932,1608115506860,IR_L_227,IR_R_227
1608115506964,1608115506894,IR_L_228,IR_R_228
1608115506998,1608115506927,IR_L_229,IR_R_229
1608115507031,1608115506961,IR_L_230,IR_R_230
1608115507065,1608115506994,IR_L_231,IR_R_231
1608115507098,1608115507028,IR_L_232,IR_R_232
