acq_time,save_time,stat_time,cycle_time,sleep_time,slow_cycles_cnt
3.099145,8.499849,0.000109,11.599103,10.256564,1
3.094776,7.906265,0.000113,11.001154,5.067564,1
3.106980,7.829084,0.000113,10.936177,5.665513,1
3.098805,7.926730,0.000111,11.025646,5.730490,1
3.122475,7.799070,0.000162,10.921707,5.641021,1
3.092300,13.123460,0.000115,16.215875,5.744960,1
3.090520,8.110345,0.000047,11.200912,0.450792,1
3.116653,8.531296,0.000118,11.648067,5.465755,1
3.145772,8.834492,0.000386,11.980650,5.018600,1
3.111900,8.908388,0.000294,12.020582,4.686017,1
3.146631,8.025806,0.000052,11.172489,4.646085,1
3.121320,7.998531,0.000120,11.119971,5.494178,1
3.120717,8.306803,0.000111,11.427631,5.546696,1
3.097819,8.414881,0.000115,11.512815,5.239036,1
3.123331,7.889743,0.000113,11.013187,5.153852,1
3.093501,8.081273,0.000103,11.174877,5.653480,1
3.139039,8.668615,0.000188,11.807842,5.491790,1
3.121957,7.817554,0.000099,10.939610,4.858825,1
3.131405,7.849898,10.989940,21.971243,5.727057,1
3.090722,9.658963,0.000103,12.749788,-5.304576,2
3.114178,8.866636,0.000109,11.980923,3.916879,2
3.091211,8.682233,0.000121,11.773565,4.685744,2
3.100793,8.026138,0.000140,11.127071,4.893102,2
3.116579,12.271131,0.000127,15.387837,5.539596,2
3.111464,8.346628,0.000102,11.458194,1.278830,2
3.113218,8.151954,0.000118,11.265290,5.208473,2
3.129452,8.300847,0.000048,11.430347,5.401377,2
3.121713,8.063438,0.000131,11.185282,5.236320,2
3.124731,8.150686,0.000053,11.275470,5.481385,2
3.113188,7.948545,0.000126,11.061859,5.391197,2
3.120190,8.155467,0.000273,11.275930,5.604808,2
3.119461,7.906508,0.000113,11.026082,5.390737,2
3.140542,8.126657,0.000111,11.267310,5.640585,2
3.183514,8.289902,0.000110,11.473526,5.399357,2
3.148545,8.091882,0.000157,11.240584,5.193141,2
3.089033,8.033330,0.000139,11.122502,5.426083,2
3.126041,7.931397,0.000129,11.057567,5.544165,2
3.117876,8.583199,0.000109,11.701184,5.609100,2
3.093743,7.990066,0.000109,11.083918,4.965483,2
3.129200,7.956443,0.000127,11.085770,5.582749,2
3.114715,8.453842,0.000170,11.568727,5.580897,2
3.111795,8.531540,0.000103,11.643438,5.097940,2
3.091472,8.112283,0.000132,11.203887,5.023229,2
3.098503,7.899283,0.000150,10.997936,5.462780,2
3.088370,7.836681,0.000112,10.925163,5.668731,2
3.103844,7.913561,0.000138,11.017543,5.741504,2
3.106025,8.001716,0.000141,11.107882,5.649124,2
3.104143,8.037511,0.000137,11.141791,5.558785,2
3.080396,8.004038,0.000133,11.084567,5.524876,2
3.117458,8.033922,0.000128,11.151508,5.582100,2
3.123640,7.931630,0.000196,11.055466,5.515159,2
3.116822,8.184418,0.000110,11.301350,5.611201,2
3.121077,7.940470,0.000136,11.061683,5.365317,2
3.110812,7.891094,0.000116,11.002022,5.604984,2
